Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
England,Premier League,(CRY),Christian Benteke,3299,15,18.4,1.09,2016
England,Premier League,(ROM),Pedro None,2250,10,5.68,0.72,2016
England,Premier League,(RMA),Eden Hazard,3101,16,11.1,0.98,2016
England,Premier League,(LIV),Roberto Firmino,3228,11,10.87,1.27,2016
England,Premier League,(LIV),Sadio Mane,2347,13,9.14,0.97,2016
England,Premier League,(BAR),Philippe Coutinho,2327,13,9.31,1.47,2016
England,Premier League,(ATL),Diego Costa,3232,20,16.67,1.21,2016
England,Premier League,(TOT),Dele Alli,3182,18,15.07,1.28,2016
England,Premier League,(MNC),Sergio Aguero,2444,21,22.38,1.98,2016
England,Premier League,(RAN),Jermain Defoe,3511,15,15.52,0.84,2016
England,Premier League,(NAP),Fernando Llorente,2562,15,8.36,0.93,2016
England,Premier League,(WHU),Michail Antonio,2493,11,9.71,0.95,2016
England,Premier League,(ACM),Zlatan Ibrahimovic,2578,17,15.74,1.66,2016
England,Premier League,(CHE),Olivier Giroud,1311,12,6.9,1.45,2016
England,Premier League,(TOT),Son Heung-Min,2174,14,7.32,1.44,2016
England,Premier League,(BOU),Joshua King,2856,16,10.82,0.96,2016
Brazil,Campeonato Brasileiro S̩rie A,(GRE),Diego Souza,2981,14,10.67,1.12,2016
Brazil,Campeonato Brasileiro S̩rie A,(SAP),Pablo ,2757,9,7.55,0.83,2016
Brazil,Campeonato Brasileiro S̩rie A,,Robinho ,2234,12,8.0,0.94,2016
Brazil,Campeonato Brasileiro S̩rie A,,Kempes ,1684,9,5.85,1.18,2016
Brazil,Campeonato Brasileiro S̩rie A,(MNC),Gabriel Jesus,2448,12,11.08,1.32,2016
Brazil,Campeonato Brasileiro S̩rie A,,Bruno Rangel ,2016,10,8.91,0.8,2016
Brazil,Campeonato Brasileiro S̩rie A,(CEA),Rogerio ,2051,9,6.69,1.3,2016
Brazil,Campeonato Brasileiro S̩rie A,(SAP),Vitor Bueno,2670,10,9.27,1.07,2016
Brazil,Campeonato Brasileiro S̩rie A,(SAN),Marinho ,2360,12,7.45,1.37,2016
Brazil,Campeonato Brasileiro S̩rie A,,Grafite ,2511,13,14.01,1.29,2016
Brazil,Campeonato Brasileiro S̩rie A,(HUR),Andres Chavez,1786,9,10.53,1.7,2016
Brazil,Campeonato Brasileiro S̩rie A,(BOT),Cicero Semedo,3322,9,9.79,0.77,2016
Brazil,Campeonato Brasileiro S̩rie A,,Sassa,1412,12,11.15,1.68,2016
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Giorgian de Arrascaeta,2423,9,7.65,0.94,2016
Brazil,Campeonato Brasileiro S̩rie A,(CAM),Keno ,3093,10,6.19,0.77,2016
Brazil,Campeonato Brasileiro S̩rie A,(FLU),Fred ,2821,14,13.66,0.94,2016
Brazil,Campeonato Brasileiro S̩rie A,,Kleber Gladiador,2143,9,8.35,1.02,2016
Brazil,Campeonato Brasileiro S̩rie A,,Pottker ,2007,14,8.66,1.18,2016
Brazil,Campeonato Brasileiro S̩rie A,,Jonathan Copete,2147,10,8.14,0.75,2016
Brazil,Campeonato Brasileiro S̩rie A,(CFC),Ricardo Oliveira,1834,11,8.49,1.29,2016
Spain,La Liga,(GET),Angel Rodriguez,2390,13,11.82,1.23,2017
Spain,La Liga,(BAR),Antoine Griezmann,2596,19,15.58,1.46,2017
Spain,La Liga,(CEL),Iago Aspas,3053,22,19.92,1.34,2017
Spain,La Liga,(TOT),Gareth Bale,1872,16,12.81,1.62,2017
Spain,La Liga,,Rodrigo None,2770,16,15.45,1.3,2017
Spain,La Liga,(ATL),Luis Suarez,3008,25,25.65,1.74,2017
Spain,La Liga,(LEV),Sergio Leon,2071,11,11.12,1.24,2017
Spain,La Liga,(BAR),Lionel Messi,3123,33,32.54,2.89,2017
Spain,La Liga,(VAL),Maxi Gomez,3168,18,18.01,1.11,2017
Spain,La Liga,(SOC),Mikel Oyarzabal,2864,12,9.35,1.06,2017
Spain,La Liga,(SOC),Willian Josa,2869,15,13.89,0.96,2017
Spain,La Liga,(TOR),Simone Zaza,2163,13,12.07,1.05,2017
Spain,La Liga,(JUV),Cristiano Ronaldo,2375,26,29.0,3.04,2017
Spain,La Liga,(SOC),Portu ,3081,11,10.7,0.77,2017
Spain,La Liga,(VIL),Gerard Moreno,3555,16,17.96,1.26,2017
Spain,La Liga,(GIR),Cristhian Stuani,2785,21,20.52,1.26,2017
Spain,La Liga,(VIL),Carlos Bacca,2572,15,14.35,1.26,2017
Spain,La Liga,(CEL),Santi Mina,1630,12,9.44,1.17,2017
