Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year,game rating by season
Spain,La Liga,(PSG),Pablo Sarabia,2877,13,11.81,1.02,2018,bad_season
Brazil,Campeonato Brasileiro S̩rie A,(SAP),Hernanes ,1222,9,5.27,1.79,2017,bad_season
England,Premier League,(NEW),Callum Wilson,2714,14,14.57,1.02,2018,bad_season
Germany,Bundesliga,(STP),Guido Burgstaller,2447,11,8.24,0.97,2017,bad_season
Brazil,Campeonato Brasileiro S̩rie A,(LYO),Lucas Paqueta,2962,10,9.04,1.28,2018,bad_season
France,France Ligue 17,(LOK),Francois Kamano,2698,10,9.09,1.16,2018,bad_season
USA,MLS,(TOR),Alex Pozuelo,2247,9,8.28,1.06,2020,bad_season
Italy,Serie A,(PSG),Mauro Icardi,3188,24,19.13,1.55,2016,bad_season
Germany,Bundesliga,(FRA),Andre Silva,1694,12,10.7,1.18,2019,bad_season
Brazil,Campeonato Brasileiro S̩rie A,Bruno,Henrique ,2595,9,4.37,0.55,2018,bad_season
Italy,Serie A,(NAP),Arkadiusz Milik,2560,17,12.4,1.89,2018,bad_season
Germany,Bundesliga,(SCH),Mark Uth,2279,14,9.84,0.88,2017,bad_season
Italy,Serie A,(NAP),Lorenzo Insigne,2191,10,9.23,1.6,2018,bad_season
France,France Ligue 1,(PSG),Kylian Mbappe-Lottin,610,9,6.81,3.11,2020,bad_season
France,France Ligue 19,(LYO),Memphis Depay,2900,10,13.43,1.28,2018,bad_season
Germany,Bundesliga,(CHE),Timo Werner,2582,16,15.49,1.43,2018,bad_season
Spain,La Liga,(HUE),Sandro Ramlrez,2340,14,7.14,1.54,2016,bad_season
Italy,Serie A,(FIO),Gaetano Castrovilli,755,4,1.43,0.88,2020,bad_season
Spain,La Liga,(GET),Angel Rodriguez,501,4,2.06,1.33,2020,bad_season
France,France Ligue 17,(STR),Ludovic Ajorque,1008,4,3.61,0.75,2020,bad_season
